protocol_version,seed,seed_group,N,calibration_size_requested,calibration_size_actual,calibration_size_capped,method,threshold,recall,false_positive_rate,empirical_coverage,target_coverage,determines_threshold_1710,target_episode_in_calibration_pool
calibration-tail-robustness-v1.0.0,13,control,25,200|all,119,False,STANDARD_CONFORMAL,50409512.8716,0.0490066225166,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,25,200|all,119,False,TRIMMED_5PCT,562.917685501,0.230463576159,0.12,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,25,200|all,119,False,TRIMMED_10PCT,143.981059564,1,0.16,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,100,100,False,CURRENT_MAX,23628.8042874,0.0569536423841,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,100,100,False,TRIMMED_5PCT,160.062888135,1,0.1,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,100,100,False,TRIMMED_10PCT,65.5737913193,1,0.16,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,200|all,119,False,CURRENT_MAX,23628.8042874,0.0569536423841,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,200|all,119,False,STANDARD_CONFORMAL,23628.8042874,0.0569536423841,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,200|all,119,False,TRIMMED_5PCT,322.767294202,0.233112582781,0.08,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,50,200|all,119,False,TRIMMED_10PCT,101.300764455,1,0.13,0.90756302521,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,100,100,False,CURRENT_MAX,37116.0049364,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,100,100,False,TRIMMED_5PCT,38.9242043213,1,0.07,0.95,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,100,100,False,TRIMMED_10PCT,35.7742569994,1,0.14,0.9,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,200|all,119,False,CURRENT_MAX,37116.0049364,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,200|all,119,False,STANDARD_CONFORMAL,37116.0049364,0.046357615894,0,1,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,200|all,119,False,TRIMMED_5PCT,42.0360761787,1,0.05,0.957983193277,0.99,False,False
calibration-tail-robustness-v1.0.0,13,control,100,200|all,119,False,TRIMMED_10PCT,37.2664300454,1,0.09,0.90756302521,0.99,False,False
