protocol_version,seed,N,detector,score_variant,clip,analysis_role,threshold,threshold_rank,finite_sample_alpha_supported,interior_order_statistic,recall,false_positive_rate,success,auroc,auprc,max_to_second_calibration_ratio,threshold_setter_ids,threshold_setter_count,effective_feature_dimension,mean_calibration_clipped_fraction,mean_healthy_clipped_fraction,mean_anomaly_clipped_fraction,target_weight
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,33.6124189167,100,True,False,0.323178807947,0,False,0.961284768212,0.994492469111,1.05481012969,1962,1,513,0.0430799220273,0.0401559454191,0.153846352452,
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,41.2927236447,100,True,False,0.345695364238,0,False,0.976688741722,0.996737572894,1.07579341025,1962,1,513,0.0176023391813,0.0161598440546,0.0740327640293,
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,6.38927863369,100,True,False,0.307284768212,0,False,0.871841059603,0.98207743005,1.04321670021,1742,1,513,0.000214424951267,0.000155945419103,0.0028245743129,1
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,5.98357012023,100,True,False,0.295364238411,0,False,0.872291390728,0.982183305851,1.05224621951,1742,1,513,0.000701754385965,0.000487329434698,0.00418264203555,1
bounded-robust-whitening-v1.0.0,1,100,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,6.68416777113,100,True,False,0.320529801325,0,False,0.872397350993,0.982258382988,1.00187922687,1742,1,513,3.89863547758e-05,0,0.00111537120948,1
bounded-robust-whitening-v1.0.0,1,100,RACE,BOUNDED_ROBUST_WHITENING,3,primary,6.2439091594,100,True,False,0.202649006623,0,False,0.758344370861,0.962091822916,1.09186540901,1742,1,513,0.000428849902534,0.000292397660819,0.00154654480203,0.625
bounded-robust-whitening-v1.0.0,1,100,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,5.54404199036,100,True,False,0.262251655629,0,False,0.755801324503,0.961493461084,1.0250824243,1742,1,513,0.00101364522417,0.000916179337232,0.00258187779972,0.625
bounded-robust-whitening-v1.0.0,1,100,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,6.70939223938,100,True,False,0.196026490066,0,False,0.758463576159,0.962277679064,1.07021126539,1742,1,513,1.94931773879e-05,0,0.000640305694331,0.625
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,CURRENT_MAHALANOBIS,none,reference,41.7265927398,100,True,False,1,0.04,False,0.990026490066,0.99288399346,1.0392073055,1720,1,526,0,0,0,
bounded-robust-whitening-v1.0.0,2,10,RACE,CURRENT_MAHALANOBIS,none,reference,56.6310175216,100,True,False,0.495364238411,0.02,False,0.753456953642,0.963700075563,1.23647978196,1797,1,542,0,0,0,0.142857142857
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,ROBUST_DIAGONAL,3,primary,35.2129931107,100,True,False,0.705960264901,0.03,False,0.946344370861,0.991954706384,1.00274662337,1716,1,512,0.061015625,0.065546875,0.163627897351,
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,32.6205107177,100,True,False,0.675496688742,0.03,False,0.938582781457,0.990811019478,1.00425069388,1720,1,512,0.089609375,0.0928515625,0.207688327815,
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,39.5190700829,100,True,False,0.719205298013,0.03,False,0.952476821192,0.992812359357,1.01601530016,1716,1,512,0.035,0.038515625,0.110420115894,
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,16.3556471745,100,True,False,0.475496688742,0,False,0.796847682119,0.970394418613,1.04323537468,1725,1,512,0.0157421875,0.01453125,0.0373525455298,1
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,14.4503353353,100,True,False,0.459602649007,0,False,0.798940397351,0.970805294313,1.05390342246,1725,1,512,0.02185546875,0.02095703125,0.0438638245033,1
bounded-robust-whitening-v1.0.0,2,10,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,19.0217321423,100,True,False,0.472847682119,0.01,False,0.798543046358,0.970561653373,1.00778108008,1725,1,512,0.006953125,0.00609375,0.027519660596,1
bounded-robust-whitening-v1.0.0,2,10,RACE,BOUNDED_ROBUST_WHITENING,3,primary,7.39675681058,100,True,False,0.0344370860927,0,False,0.412556291391,0.876033745858,1.00041594235,2014,1,512,0.00201171875,0.00185546875,0.00151593543046,0.142857142857
bounded-robust-whitening-v1.0.0,2,10,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,6.77202296187,100,True,False,0.0238410596026,0,False,0.433536423841,0.880146091056,1.0233451282,1991,1,512,0.003359375,0.00298828125,0.00220923013245,0.142857142857
bounded-robust-whitening-v1.0.0,2,10,RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,8.45363265134,100,True,False,0.0251655629139,0,False,0.396741721854,0.874648846743,1.08470790404,2014,1,512,0.0008984375,0.00087890625,0.000843336092715,0.142857142857
bounded-robust-whitening-v1.0.0,2,25,TargetOnly,CURRENT_MAHALANOBIS,none,reference,21955.1620942,100,True,False,0.553642384106,0.02,False,0.962092715232,0.992502708038,1.00000363174,1707,1,531,0,0,0,
bounded-robust-whitening-v1.0.0,2,25,RACE,CURRENT_MAHALANOBIS,none,reference,46.2137527442,100,True,False,0.513907284768,0.03,False,0.981046357616,0.996402323312,1.29975257314,1797,1,542,0,0,0,0.294117647059
bounded-robust-whitening-v1.0.0,2,25,TargetOnly,ROBUST_DIAGONAL,3,primary,31.4483247112,100,True,False,0.802649006623,0.06,False,0.955562913907,0.993090584848,1.00294333375,1982,1,512,0.03431640625,0.03796875,0.131076676325,
