detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
Pooled,100,9,39.0611320280857,39.06113202808558,0.0,0.0,0.8768211920529801,0.8768211920529801,542,542,,,True
RACE,100,9,38.22457066824322,38.224570668243246,0.0,0.0,0.8145695364238411,0.8145695364238411,542,542,0.625,0.625,True
SourceOnly,10,10,51.03482439502577,51.03482439502569,0.01,0.01,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,10,10,24894.47513001421,24894.4751300142,0.0,0.0,0.28874172185430463,0.2887417218543046,528,528,,,True
Pooled,10,10,40.19766063349829,40.197660633498295,0.01,0.01,0.9178807947019868,0.9178807947019868,542,542,,,True
RACE,10,10,37.526829373817726,37.52682937381777,0.02,0.02,0.7178807947019867,0.7178807947019867,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,10,51.03482439502577,51.03482439502569,0.01,0.01,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,25,10,56.71410202483355,56.714102024833565,0.01,0.01,1.0,1.0,534,534,,,True
Pooled,25,10,37.053461860107724,37.05346186010766,0.01,0.01,0.9814569536423841,0.981456953642384,542,542,,,True
RACE,25,10,26.5885360519085,26.5885360519085,0.03,0.03,0.9986754966887417,0.9986754966887416,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,10,51.03482439502577,51.03482439502569,0.01,0.01,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,50,10,63.96650987734658,63.96650987734656,0.01,0.01,1.0,1.0,534,534,,,True
Pooled,50,10,33.537212238000436,33.53721223800043,0.03,0.03,0.9986754966887417,0.9986754966887416,542,542,,,True
RACE,50,10,26.75486366138028,26.754863661380284,0.03,0.03,1.0,1.0,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,10,51.03482439502577,51.03482439502569,0.01,0.01,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,100,10,70.1888151861204,70.18881518612032,0.01,0.01,1.0,1.0,534,534,,,True
Pooled,100,10,31.58075484117603,31.58075484117608,0.03,0.03,1.0,1.0,542,542,,,True
RACE,100,10,29.254182834001185,29.25418283400121,0.03,0.03,1.0,1.0,542,542,0.625,0.625,True
SourceOnly,10,11,43.99057039074653,43.99057039074639,0.03,0.03,0.7814569536423841,0.7814569536423841,540,540,,,True
